=============================================
P(G):
=============================================
2 0.028005
3 0.002218
4 0.011513
5 0.024799
8 0.011170
9 0.003911
10 0.047018
12 0.285939
13 0.000484
14 0.003528
15 0.188959
17 0.056514
20 0.008529
21 0.071616
38 0.213880
1235 0.041917


=============================================
P(chroma_stft_mean_01 | G):
3 38 0.000000
3 39 0.009091
3 40 0.027273
3 41 0.009091
3 42 0.027273
3 43 0.009091
3 44 0.009091
3 45 0.018182
3 46 0.027273
3 47 0.009091
3 48 0.018182
3 49 0.018182
3 50 0.018182
3 51 0.000000
3 52 0.009091
3 53 0.000000
3 54 0.000000
3 55 0.018182
3 56 0.027273
3 57 0.000000
3 58 0.009091
3 59 0.009091
3 60 0.000000
3 61 0.009091
3 62 0.000000
3 63 0.000000
3 64 0.009091
3 65 0.018182
3 66 0.000000
3 67 0.018182
3 68 0.009091
3 69 0.009091
3 70 0.027273
3 71 0.000000
3 72 0.000000
3 73 0.000000
3 74 0.000000
3 75 0.000000
3 76 0.000000
3 77 0.000000
3 78 0.000000
3 79 0.018182
3 80 0.000000
3 81 0.009091
3 82 0.000000
3 83 0.000000
3 84 0.009091
3 85 0.009091
3 86 0.000000
3 87 0.009091
3 88 0.009091
3 89 0.000000
3 90 0.009091
3 91 0.000000
3 92 0.000000
3 93 0.000000
3 94 0.000000
3 95 0.000000
3 96 0.000000
3 97 0.000000
3 98 0.000000
3 99 0.000000
4 0 0.000000
4 1 0.010508
4 2 0.012259
4 3 0.005254
4 4 0.005254
4 5 0.017513
4 6 0.008757
4 7 0.012259
4 8 0.015762
4 9 0.008757
4 10 0.014011
4 11 0.021016
4 12 0.019264
4 13 0.015762
4 14 0.019264
4 15 0.022767
4 16 0.015762
4 17 0.015762
4 18 0.014011
4 19 0.019264
4 20 0.012259
4 21 0.015762
4 22 0.021016
4 23 0.014011
4 24 0.021016
4 25 0.008757
4 26 0.015762
4 27 0.015762
4 28 0.019264
4 29 0.014011
4 30 0.021016
4 31 0.015762
4 32 0.010508
4 33 0.024518
4 34 0.017513
4 35 0.008757
4 36 0.014011
4 37 0.012259
4 38 0.015762
4 39 0.005254
4 40 0.019264
4 41 0.008757
4 42 0.017513
4 43 0.012259
4 44 0.008757
4 45 0.008757
4 46 0.015762
4 47 0.021016
4 48 0.014011
4 49 0.015762
4 50 0.008757
4 51 0.008757
4 52 0.014011
4 53 0.008757
4 54 0.012259
4 55 0.014011
4 56 0.007005
4 57 0.014011
4 58 0.003503
4 59 0.005254
4 60 0.001751
4 61 0.014011
4 62 0.005254
4 63 0.012259
4 64 0.005254
4 65 0.007005
4 66 0.010508
4 67 0.003503
4 68 0.001751
4 69 0.008757
4 70 0.003503
4 71 0.005254
4 72 0.007005
4 73 0.010508
4 74 0.003503
4 75 0.005254
4 76 0.005254
4 77 0.007005
4 78 0.007005
4 79 0.005254
4 80 0.001751
4 81 0.003503
4 82 0.007005
4 83 0.005254
4 84 0.000000
4 85 0.003503
4 86 0.003503
4 87 0.000000
4 88 0.003503
4 89 0.001751
4 90 0.003503
4 91 0.005254
4 92 0.001751
4 93 0.003503
4 94 0.001751
4 95 0.001751
4 96 0.000000
4 97 0.003503
4 98 0.003503
4 99 0.001751
5 0 0.012195
5 1 0.019512
5 2 0.035772
5 3 0.032520
5 4 0.036585
5 5 0.032520
5 6 0.035772
5 7 0.025203
5 8 0.039837
5 9 0.034146
5 10 0.029268
5 11 0.030081
5 12 0.027642
5 13 0.026016
5 14 0.026829
5 15 0.021138
5 16 0.019512
5 17 0.021951
5 18 0.019512
5 19 0.019512
5 20 0.017073
5 21 0.015447
5 22 0.013821
5 23 0.011382
5 24 0.017073
5 25 0.015447
5 26 0.013821
5 27 0.021138
5 28 0.015447
5 29 0.016260
5 30 0.016260
5 31 0.012195
5 32 0.014634
5 33 0.010569
5 34 0.006504
5 35 0.007317
5 36 0.010569
5 37 0.010569
5 38 0.004878
5 39 0.007317
5 40 0.005691
5 41 0.008130
5 42 0.009756
5 43 0.008130
5 44 0.013821
5 45 0.003252
5 46 0.010569
5 47 0.004065
5 48 0.004878
5 49 0.004878
5 50 0.006504
5 51 0.006504
5 52 0.005691
5 53 0.002439
5 54 0.008130
5 55 0.001626
5 56 0.004065
5 57 0.003252
5 58 0.002439
5 59 0.004878
5 60 0.007317
5 61 0.004065
5 62 0.003252
5 63 0.002439
5 64 0.002439
5 65 0.003252
5 66 0.003252
5 67 0.004878
5 68 0.000813
5 69 0.001626
5 70 0.002439
5 71 0.003252
5 72 0.001626
5 73 0.004065
5 74 0.002439
5 75 0.003252
5 76 0.001626
5 77 0.004065
5 78 0.002439
5 79 0.000813
5 80 0.000813
5 81 0.003252
5 82 0.001626
5 83 0.000813
5 84 0.000813
5 85 0.000000
5 86 0.000000
5 87 0.003252
5 88 0.001626
5 89 0.000813
5 90 0.000813
5 91 0.000813
5 92 0.000000
5 93 0.000000
5 94 0.002439
5 95 0.000000
5 96 0.001626
5 97 0.000000
5 98 0.000000
5 99 0.000000
8 0 0.063177
8 1 0.063177
8 2 0.046931
8 3 0.052347
8 4 0.046931
8 5 0.041516
8 6 0.030686
8 7 0.050542
8 8 0.037906
8 9 0.028881
8 10 0.037906
8 11 0.021661
8 12 0.009025
8 13 0.012635
8 14 0.021661
8 15 0.003610
8 16 0.010830
8 17 0.012635
8 18 0.014440
8 19 0.005415
8 20 0.012635
8 21 0.005415
8 22 0.003610
8 23 0.016245
8 24 0.019856
8 25 0.005415
8 26 0.007220
8 27 0.010830
8 28 0.012635
8 29 0.005415
8 30 0.014440
8 31 0.009025
8 32 0.009025
8 33 0.009025
8 34 0.005415
8 35 0.009025
8 36 0.007220
8 37 0.009025
8 38 0.007220
8 39 0.010830
8 40 0.003610
8 41 0.010830
8 42 0.012635
8 43 0.009025
8 44 0.007220
8 45 0.009025
8 46 0.007220
8 47 0.005415
8 48 0.005415
8 49 0.005415
8 50 0.005415
8 51 0.005415
8 52 0.001805
8 53 0.005415
8 54 0.007220
8 55 0.001805
8 56 0.003610
8 57 0.003610
8 58 0.000000
8 59 0.001805
8 60 0.007220
8 61 0.000000
8 62 0.000000
8 63 0.001805
8 64 0.005415
8 65 0.001805
8 66 0.005415
8 67 0.005415
8 68 0.001805
8 69 0.005415
8 70 0.000000
8 71 0.000000
8 72 0.009025
8 73 0.005415
8 74 0.001805
8 75 0.000000
8 76 0.000000
8 77 0.001805
8 78 0.000000
8 79 0.003610
8 80 0.001805
8 81 0.000000
8 82 0.000000
8 83 0.000000
8 84 0.003610
8 85 0.005415
8 86 0.003610
8 87 0.003610
8 88 0.001805
8 89 0.000000
8 90 0.001805
8 91 0.001805
8 92 0.001805
8 93 0.000000
8 94 0.001805
8 95 0.001805
8 96 0.000000
8 97 0.000000
8 98 0.001805
8 99 0.000000
9 0 0.000000
9 1 0.000000
9 2 0.005155
9 3 0.005155
9 4 0.000000
9 5 0.015464
9 6 0.015464
9 7 0.010309
9 8 0.020619
9 9 0.015464
9 10 0.015464
9 11 0.015464
9 12 0.030928
9 13 0.005155
9 14 0.015464
9 15 0.015464
9 16 0.010309
9 17 0.025773
9 18 0.025773
9 19 0.010309
9 20 0.015464
9 21 0.015464
9 22 0.036082
9 23 0.030928
9 24 0.005155
9 25 0.041237
9 26 0.010309
9 27 0.010309
9 28 0.015464
9 29 0.020619
9 30 0.020619
9 31 0.030928
9 32 0.025773
9 33 0.015464
9 34 0.020619
9 35 0.030928
9 36 0.015464
9 37 0.025773
9 38 0.015464
9 39 0.000000
9 40 0.025773
9 41 0.020619
9 42 0.000000
9 43 0.015464
9 44 0.005155
9 45 0.015464
9 46 0.010309
9 47 0.005155
9 48 0.000000
9 49 0.005155
9 50 0.010309
9 51 0.005155
9 52 0.000000
9 53 0.010309
9 54 0.020619
9 55 0.005155
9 56 0.010309
9 57 0.005155
9 58 0.005155
9 59 0.005155
9 60 0.005155
9 61 0.015464
9 62 0.000000
9 63 0.010309
9 64 0.005155
9 65 0.005155
9 66 0.000000
9 67 0.010309
9 68 0.010309
9 69 0.000000
9 70 0.010309
9 71 0.005155
9 72 0.000000
9 73 0.000000
9 74 0.005155
9 75 0.005155
9 76 0.000000
9 77 0.000000
9 78 0.000000
9 79 0.010309
9 80 0.005155
9 81 0.000000
9 82 0.005155
9 83 0.005155
9 84 0.000000
9 85 0.005155
9 86 0.005155
9 87 0.005155
9 88 0.005155
9 89 0.005155
9 90 0.000000
9 91 0.000000
9 92 0.000000
9 93 0.005155
9 94 0.010309
9 95 0.005155
9 96 0.000000
9 97 0.000000
9 98 0.000000
9 99 0.000000
10 0 0.007290
10 1 0.006432
10 2 0.006432
10 3 0.009005
10 4 0.008576
10 5 0.009434
10 6 0.008148
10 7 0.012007
10 8 0.009434
10 9 0.012864
10 10 0.012436
10 11 0.014580
10 12 0.012007
10 13 0.012436
10 14 0.013722
10 15 0.012436
10 16 0.014151
10 17 0.015866
10 18 0.010292
10 19 0.008148
10 20 0.010720
10 21 0.014151
10 22 0.009863
10 23 0.014580
10 24 0.006432
10 25 0.015009
10 26 0.012864
10 27 0.013722
10 28 0.011149
10 29 0.009434
10 30 0.012007
10 31 0.012436
10 32 0.012436
10 33 0.013293
10 34 0.010720
10 35 0.012007
10 36 0.014580
10 37 0.010720
10 38 0.009863
10 39 0.012864
10 40 0.016724
10 41 0.012436
10 42 0.009863
10 43 0.011149
10 44 0.014580
10 45 0.009434
10 46 0.013293
10 47 0.009005
10 48 0.010292
10 49 0.009005
10 50 0.012007
10 51 0.013722
10 52 0.011578
10 53 0.010720
10 54 0.007290
10 55 0.009434
10 56 0.009434
10 57 0.009863
10 58 0.010720
10 59 0.009005
10 60 0.009863
10 61 0.011149
10 62 0.012007
10 63 0.011149
10 64 0.009005
10 65 0.010720
10 66 0.007719
10 67 0.007290
10 68 0.010720
10 69 0.009863
10 70 0.009863
10 71 0.007719
10 72 0.008148
10 73 0.009434
10 74 0.011149
10 75 0.008576
10 76 0.007719
10 77 0.007290
10 78 0.009863
10 79 0.007719
10 80 0.010292
10 81 0.006861
10 82 0.006861
10 83 0.009005
10 84 0.009434
10 85 0.007290
10 86 0.008148
10 87 0.008576
10 88 0.005575
10 89 0.006861
10 90 0.007290
10 91 0.007290
10 92 0.004717
10 93 0.006003
10 94 0.007290
10 95 0.005146
10 96 0.006432
10 97 0.007290
10 98 0.004288
10 99 0.004288
12 0 0.001058
12 1 0.001692
12 2 0.001904
12 3 0.002186
12 4 0.003808
12 5 0.002327
12 6 0.003878
12 7 0.003596
12 8 0.005077
12 9 0.005500
12 10 0.004724
12 11 0.006064
12 12 0.005852
12 13 0.006769
12 14 0.007404
12 15 0.006276
12 16 0.007333
12 17 0.008532
12 18 0.009449
12 19 0.007333
12 20 0.007545
12 21 0.009590
12 22 0.009096
12 23 0.008602
12 24 0.009942
12 25 0.011917
12 26 0.009308
12 27 0.010506
12 28 0.011423
12 29 0.011705
12 30 0.011917
12 31 0.011917
12 32 0.013327
12 33 0.012974
12 34 0.013045
12 35 0.012128
12 36 0.011775
12 37 0.014737
12 38 0.012833
12 39 0.012622
12 40 0.012410
12 41 0.013397
12 42 0.014666
12 43 0.011917
12 44 0.012904
12 45 0.014314
12 46 0.013961
12 47 0.014032
12 48 0.014525
12 49 0.012904
12 50 0.012199
12 51 0.013891
12 52 0.014102
12 53 0.012551
12 54 0.014102
12 55 0.012340
12 56 0.013256
12 57 0.013327
12 58 0.013115
12 59 0.012410
12 60 0.012269
12 61 0.012763
12 62 0.014243
12 63 0.012551
12 64 0.013115
12 65 0.013115
12 66 0.013186
12 67 0.011634
12 68 0.012481
12 69 0.012128
12 70 0.013538
12 71 0.014102
12 72 0.014596
12 73 0.011000
12 74 0.011564
12 75 0.012763
12 76 0.009872
12 77 0.011211
12 78 0.010154
12 79 0.011070
12 80 0.010929
12 81 0.010154
12 82 0.010718
12 83 0.010365
12 84 0.010788
12 85 0.010224
12 86 0.009731
12 87 0.008179
12 88 0.008532
12 89 0.008602
12 90 0.008109
12 91 0.008391
12 92 0.007897
12 93 0.007756
12 94 0.007051
12 95 0.005077
12 96 0.005923
12 97 0.004301
12 98 0.003526
12 99 0.002397
13 0 0.000000
13 1 0.000000
13 2 0.000000
13 3 0.041667
13 4 0.000000
13 5 0.000000
13 6 0.041667
13 7 0.000000
13 8 0.041667
13 9 0.000000
13 10 0.000000
13 11 0.000000
13 12 0.000000
13 13 0.041667
13 14 0.000000
13 15 0.000000
13 16 0.000000
13 17 0.000000
13 18 0.000000
13 19 0.000000
13 20 0.000000
13 21 0.000000
13 22 0.041667
13 23 0.000000
13 24 0.000000
13 25 0.000000
13 26 0.041667
13 27 0.000000
13 28 0.041667
13 29 0.041667
13 30 0.041667
13 31 0.000000
13 32 0.000000
13 33 0.000000
13 34 0.083333
13 35 0.000000
13 36 0.000000
13 37 0.000000
13 38 0.000000
13 39 0.000000
13 40 0.000000
13 41 0.041667
13 42 0.000000
13 43 0.000000
13 44 0.000000
13 45 0.000000
13 46 0.000000
13 47 0.000000
13 48 0.000000
13 49 0.083333
13 50 0.000000
13 51 0.041667
13 52 0.041667
13 53 0.000000
13 54 0.000000
13 55 0.000000
13 56 0.000000
13 57 0.000000
13 58 0.000000
13 59 0.000000
13 60 0.000000
13 61 0.000000
13 62 0.041667
13 63 0.000000
13 64 0.000000
13 65 0.000000
13 66 0.000000
13 67 0.041667
13 68 0.000000
13 69 0.041667
13 70 0.000000
13 71 0.000000
13 72 0.000000
13 73 0.000000
13 74 0.000000
13 75 0.000000
13 76 0.041667
13 77 0.041667
13 78 0.000000
13 79 0.000000
13 80 0.000000
13 81 0.041667
13 82 0.000000
13 83 0.000000
13 84 0.000000
13 85 0.000000
13 86 0.000000
13 87 0.000000
13 88 0.083333
13 89 0.000000
13 90 0.000000
13 91 0.000000
13 92 0.000000
13 93 0.000000
13 94 0.000000
13 95 0.000000
13 96 0.000000
13 97 0.000000
13 98 0.000000
13 99 0.000000
14 0 0.000000
14 1 0.000000
14 2 0.000000
14 3 0.000000
14 4 0.005714
14 5 0.000000
14 6 0.011429
14 7 0.000000
14 8 0.000000
14 9 0.005714
14 10 0.005714
14 11 0.005714
14 12 0.000000
14 13 0.005714
14 14 0.000000
14 15 0.000000
14 16 0.011429
14 17 0.017143
14 18 0.000000
14 19 0.005714
14 20 0.000000
14 21 0.028571
14 22 0.011429
14 23 0.005714
14 24 0.005714
14 25 0.000000
14 26 0.005714
14 27 0.011429
14 28 0.022857
14 29 0.011429
14 30 0.011429
14 31 0.011429
14 32 0.011429
14 33 0.011429
14 34 0.017143
14 35 0.005714
14 36 0.028571
14 37 0.022857
14 38 0.017143
14 39 0.005714
14 40 0.011429
14 41 0.005714
14 42 0.005714
14 43 0.005714
14 44 0.005714
14 45 0.000000
14 46 0.000000
14 47 0.017143
14 48 0.005714
14 49 0.000000
14 50 0.000000
14 51 0.022857
14 52 0.005714
14 53 0.028571
14 54 0.028571
14 55 0.011429
14 56 0.005714
14 57 0.017143
14 58 0.011429
14 59 0.022857
14 60 0.005714
14 61 0.017143
14 62 0.005714
14 63 0.017143
14 64 0.005714
14 65 0.011429
14 66 0.005714
14 67 0.017143
14 68 0.005714
14 69 0.017143
14 70 0.011429
14 71 0.005714
14 72 0.034286
14 73 0.000000
14 74 0.011429
14 75 0.017143
14 76 0.000000
14 77 0.017143
14 78 0.011429
14 79 0.022857
14 80 0.017143
14 81 0.011429
14 82 0.011429
14 83 0.011429
14 84 0.028571
14 85 0.005714
14 86 0.000000
14 87 0.017143
14 88 0.005714
14 89 0.017143
14 90 0.000000
14 91 0.005714
14 92 0.017143
14 93 0.011429
14 94 0.000000
14 95 0.005714
14 96 0.011429
14 97 0.017143
14 98 0.017143
14 99 0.017143
15 0 0.007256
15 1 0.006829
15 2 0.004588
15 3 0.005122
15 4 0.004481
15 5 0.004908
15 6 0.005869
15 7 0.006295
15 8 0.005442
15 9 0.005762
15 10 0.006082
15 11 0.005228
15 12 0.005975
15 13 0.005548
15 14 0.005228
15 15 0.005655
15 16 0.006082
15 17 0.005548
15 18 0.005869
15 19 0.007789
15 20 0.005335
15 21 0.005655
15 22 0.005442
15 23 0.005548
15 24 0.006615
15 25 0.006509
15 26 0.007682
15 27 0.007149
15 28 0.005762
15 29 0.006722
15 30 0.005548
15 31 0.006936
15 32 0.005335
15 33 0.005655
15 34 0.006615
15 35 0.006829
15 36 0.007362
15 37 0.007576
15 38 0.006829
15 39 0.007682
15 40 0.007256
15 41 0.006295
15 42 0.007469
15 43 0.006936
15 44 0.007149
15 45 0.007149
15 46 0.007896
15 47 0.007256
15 48 0.007469
15 49 0.008323
15 50 0.007256
15 51 0.008963
15 52 0.008109
15 53 0.008643
15 54 0.007896
15 55 0.009283
15 56 0.008323
15 57 0.008856
15 58 0.009816
15 59 0.009283
15 60 0.010883
15 61 0.009176
15 62 0.008643
15 63 0.009710
15 64 0.011417
15 65 0.010670
15 66 0.011097
15 67 0.011950
15 68 0.012271
15 69 0.011417
15 70 0.011844
15 71 0.013338
15 72 0.011844
15 73 0.013764
15 74 0.012804
15 75 0.011204
15 76 0.012697
15 77 0.013871
15 78 0.015258
15 79 0.014085
15 80 0.015258
15 81 0.013764
15 82 0.014511
15 83 0.016539
15 84 0.013978
15 85 0.016859
15 86 0.016325
15 87 0.018566
15 88 0.019526
15 89 0.018139
15 90 0.019526
15 91 0.018353
15 92 0.017712
15 93 0.019526
15 94 0.018993
15 95 0.019099
15 96 0.021127
15 97 0.021233
15 98 0.020060
15 99 0.018993
17 0 0.007492
17 1 0.015341
17 2 0.019265
17 3 0.023546
17 4 0.019979
17 5 0.020692
17 6 0.018552
17 7 0.022833
17 8 0.018908
17 9 0.022476
17 10 0.018552
17 11 0.020692
17 12 0.021406
17 13 0.022119
17 14 0.016768
17 15 0.013914
17 16 0.014984
17 17 0.018552
17 18 0.015341
17 19 0.013914
17 20 0.016768
17 21 0.014270
17 22 0.013914
17 23 0.016411
17 24 0.014627
17 25 0.013557
17 26 0.014984
17 27 0.015341
17 28 0.012487
17 29 0.018195
17 30 0.009989
17 31 0.010703
17 32 0.009989
17 33 0.013914
17 34 0.012130
17 35 0.012487
17 36 0.012843
17 37 0.013914
17 38 0.011416
17 39 0.011416
17 40 0.009276
17 41 0.008562
17 42 0.007492
17 43 0.008919
17 44 0.009276
17 45 0.009989
17 46 0.008919
17 47 0.008919
17 48 0.008205
17 49 0.008562
17 50 0.008919
17 51 0.008205
17 52 0.009633
17 53 0.011060
17 54 0.005708
17 55 0.008205
17 56 0.005708
17 57 0.007849
17 58 0.009276
17 59 0.006422
17 60 0.004281
17 61 0.006422
17 62 0.006065
17 63 0.007849
17 64 0.007135
17 65 0.008919
17 66 0.006422
17 67 0.006065
17 68 0.005351
17 69 0.007135
17 70 0.004995
17 71 0.005708
17 72 0.006065
17 73 0.004281
17 74 0.006422
17 75 0.005351
17 76 0.007492
17 77 0.005708
17 78 0.003568
17 79 0.006778
17 80 0.002854
17 81 0.006778
17 82 0.002854
17 83 0.003211
17 84 0.003568
17 85 0.005351
17 86 0.003924
17 87 0.003924
17 88 0.004281
17 89 0.004281
17 90 0.005708
17 91 0.002854
17 92 0.004281
17 93 0.003211
17 94 0.002141
17 95 0.004995
17 96 0.002497
17 97 0.003924
17 98 0.001070
17 99 0.002497
20 0 0.002364
20 1 0.000000
20 2 0.002364
20 3 0.004728
20 4 0.007092
20 5 0.002364
20 6 0.007092
20 7 0.000000
20 8 0.004728
20 9 0.004728
20 10 0.002364
20 11 0.004728
20 12 0.011820
20 13 0.009456
20 14 0.004728
20 15 0.011820
20 16 0.026005
20 17 0.009456
20 18 0.014184
20 19 0.004728
20 20 0.016548
20 21 0.007092
20 22 0.009456
20 23 0.014184
20 24 0.007092
20 25 0.021277
20 26 0.016548
20 27 0.023641
20 28 0.014184
20 29 0.028369
20 30 0.018913
20 31 0.011820
20 32 0.018913
20 33 0.016548
20 34 0.014184
20 35 0.035461
20 36 0.028369
20 37 0.018913
20 38 0.030733
20 39 0.028369
20 40 0.021277
20 41 0.014184
20 42 0.009456
20 43 0.011820
20 44 0.030733
20 45 0.023641
20 46 0.014184
20 47 0.014184
20 48 0.002364
20 49 0.016548
20 50 0.014184
20 51 0.011820
20 52 0.014184
20 53 0.007092
20 54 0.016548
20 55 0.016548
20 56 0.023641
20 57 0.009456
20 58 0.011820
20 59 0.009456
20 60 0.009456
20 61 0.009456
20 62 0.007092
20 63 0.002364
20 64 0.009456
20 65 0.016548
20 66 0.009456
20 67 0.007092
20 68 0.002364
20 69 0.011820
20 70 0.007092
20 71 0.004728
20 72 0.004728
20 73 0.007092
20 74 0.002364
20 75 0.002364
20 76 0.002364
20 77 0.007092
20 78 0.004728
20 79 0.000000
20 80 0.004728
20 81 0.007092
20 82 0.002364
20 83 0.004728
20 84 0.002364
20 85 0.004728
20 86 0.002364
20 87 0.000000
20 88 0.004728
20 89 0.002364
20 90 0.004728
20 91 0.000000
20 92 0.002364
20 93 0.004728
20 94 0.002364
20 95 0.002364
20 96 0.007092
20 97 0.000000
20 98 0.004728
20 99 0.000000
21 0 0.001126
21 1 0.000000
21 2 0.000845
21 3 0.001971
21 4 0.001971
21 5 0.002534
21 6 0.001971
21 7 0.000563
21 8 0.003097
21 9 0.002252
21 10 0.003941
21 11 0.003660
21 12 0.002815
21 13 0.002534
21 14 0.005349
21 15 0.003941
21 16 0.005631
21 17 0.001971
21 18 0.004505
21 19 0.006757
21 20 0.006194
21 21 0.005068
21 22 0.003941
21 23 0.005631
21 24 0.007883
21 25 0.007038
21 26 0.005631
21 27 0.006475
21 28 0.005349
21 29 0.006475
21 30 0.006757
21 31 0.006475
21 32 0.008164
21 33 0.010417
21 34 0.007038
21 35 0.007601
21 36 0.010417
21 37 0.008446
21 38 0.009009
21 39 0.011543
21 40 0.011824
21 41 0.010698
21 42 0.011261
21 43 0.010980
21 44 0.011824
21 45 0.010980
21 46 0.011543
21 47 0.012106
21 48 0.011824
21 49 0.010698
21 50 0.012950
21 51 0.014640
21 52 0.015203
21 53 0.014358
21 54 0.012106
21 55 0.013514
21 56 0.014921
21 57 0.018300
21 58 0.020833
21 59 0.013795
21 60 0.014358
21 61 0.018300
21 62 0.016329
21 63 0.015766
21 64 0.012106
21 65 0.019707
21 66 0.017455
21 67 0.012950
21 68 0.013232
21 69 0.015484
21 70 0.011543
21 71 0.017455
21 72 0.013795
21 73 0.016047
21 74 0.017455
21 75 0.011824
21 76 0.011261
21 77 0.016329
21 78 0.013795
21 79 0.013232
21 80 0.016047
21 81 0.013514
21 82 0.019144
21 83 0.012106
21 84 0.016892
21 85 0.016610
21 86 0.014077
21 87 0.012106
21 88 0.010980
21 89 0.008727
21 90 0.010698
21 91 0.012387
21 92 0.012106
21 93 0.010698
21 94 0.010135
21 95 0.007320
21 96 0.012106
21 97 0.006475
21 98 0.007038
21 99 0.005068
38 0 0.013857
38 1 0.011501
38 2 0.011501
38 3 0.011218
38 4 0.011312
38 5 0.011312
38 6 0.011312
38 7 0.010935
38 8 0.010370
38 9 0.008956
38 10 0.012538
38 11 0.010464
38 12 0.009238
38 13 0.012161
38 14 0.009333
38 15 0.009992
38 16 0.010841
38 17 0.011124
38 18 0.010087
38 19 0.010935
38 20 0.010181
38 21 0.010747
38 22 0.009898
38 23 0.010747
38 24 0.011124
38 25 0.009050
38 26 0.009898
38 27 0.009050
38 28 0.007919
38 29 0.008578
38 30 0.009427
38 31 0.008767
38 32 0.011595
38 33 0.009238
38 34 0.009710
38 35 0.008673
38 36 0.010181
38 37 0.009615
38 38 0.009238
38 39 0.009615
38 40 0.010087
38 41 0.009992
38 42 0.009710
38 43 0.010370
38 44 0.008861
38 45 0.009427
38 46 0.008013
38 47 0.008673
38 48 0.010275
38 49 0.008956
38 50 0.008861
38 51 0.009615
38 52 0.009238
38 53 0.010652
38 54 0.009144
38 55 0.009144
38 56 0.010370
38 57 0.008673
38 58 0.009050
38 59 0.010370
38 60 0.009333
38 61 0.009898
38 62 0.011029
38 63 0.010275
38 64 0.008767
38 65 0.008767
38 66 0.008673
38 67 0.010652
38 68 0.009238
38 69 0.008578
38 70 0.009144
38 71 0.009144
38 72 0.009238
38 73 0.007636
38 74 0.009615
38 75 0.009333
38 76 0.009710
38 77 0.010652
38 78 0.010370
38 79 0.009144
38 80 0.009710
38 81 0.009144
38 82 0.009615
38 83 0.008673
38 84 0.010370
38 85 0.009333
38 86 0.010747
38 87 0.009521
38 88 0.010464
38 89 0.008296
38 90 0.010841
38 91 0.006693
38 92 0.009992
38 93 0.010464
38 94 0.010747
38 95 0.010841
38 96 0.011689
38 97 0.014517
38 98 0.013386
38 99 0.014046
1235 0 0.026936
1235 1 0.017316
1235 2 0.014430
1235 3 0.021645
1235 4 0.017316
1235 5 0.018278
1235 6 0.016835
1235 7 0.020202
1235 8 0.012506
1235 9 0.012987
1235 10 0.014911
1235 11 0.011544
1235 12 0.014911
1235 13 0.012987
1235 14 0.011063
1235 15 0.015392
1235 16 0.012987
1235 17 0.011063
1235 18 0.013468
